strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/Poland/NIPH-NIH_ECDC-036/2021	2021-01-28	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1091407	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH		Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team		Warsaw
hCoV-19/Poland/NIPH-NIH_ECDC-045/2021	2021-01-29	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1091409	National Institute of Public Health - National Institute of Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH		Wołkowicz Tomasz, Zacharczuk Katarzyna, Sadkowska-Todys Małgorzata, Gierczyńki Rafał, Eurofins Genomics Europe Sequencing Team, ECDC COVID-19 WGS support team		Warsaw
hCoV-19/France/NAQ-0001064/2021	2021-01-05	20I/501Y.V1	France	Nouvelle-Aquitaine	Nouvelle-Aquitaine	EPI_ISL_1190798	CENTRE HOSPITALIER POITIERS	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Poitiers
hCoV-19/France/ARA-700000133235/2021	2021-01-02	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1406504	Centre Hospitalier Universitaire Clermont-Ferrand	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CHU Clermont-Ferrand, service de virologie		Bisseux Maxime, Mirand Audrey, Combes Patricia, Henquell Cécile		La roche blanche
hCoV-19/England/NORW-22CA0E/2021	2021-01-26	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1249042	Quadram Institute Bioscience	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker, Gemma L. Kay, Alp Aydin, Thanh Le-Viet, Steven Rudder, Ana P. Tedim, Anastasia Kolyva, Maria Diaz, Leonardo de Oliveira Martins, Nabil-Fareed Alikhan, Lizzie Meadows, Rachael Stanley, Ngozi Elumogo, Muhammed Yasir, Nicholas M. Thomson, Alexander J Trotter, Rachel Gilroy, Samuel Bloomfield, Claire Stuart, Andrew Bell, Reenesh Prakash, Samir Dervisevic, Alison E. Mather, John Wain, Mark Webber, Andrew J. Page, Justin O’Grady		
hCoV-19/Germany/BE-RKI-I-023274/2021	2021-01-30	20I/501Y.V1	Germany	Berlin	Berlin	EPI_ISL_1153441	MDI Limbach Berlin GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Switzerland/GE-33066910/2021	2021-01-23	20I/501Y.V1	Switzerland	Geneve	Geneve	EPI_ISL_953550	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	HUG, Laboratory of Virology and the Health2030 Genome Center		Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis		
hCoV-19/France/IDF-HCL021020638401/2021	2021-01-26	20I/501Y.V1	France	Ile-de-France	Ile-de-France	EPI_ISL_1297280	BIOMNIS PARIS	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Ivry-sur-Seine
hCoV-19/Germany/HB-RKI-I-012849/2021	2021-01-26	20I/501Y.V1	Germany	Bremen	Bremen	EPI_ISL_1142983	Sonic - MVZ Medizinisches Labor Bremen GmbH	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Switzerland/BL-ETHZ-471412/2021	2021-01-28	20I/501Y.V1	Switzerland	Basel-Landschaft	Basel-Landschaft	EPI_ISL_1129865	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/BS-ETHZ-471147/2021	2021-01-27	20I/501Y.V1	Switzerland	Basel-Stadt	Basel-Stadt	EPI_ISL_1130056	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/BS-UHB-42669166/2021	2021-01-30	20I/501Y.V1	Switzerland	Basel-Stadt	Basel-Stadt	EPI_ISL_1273657	University Hospital Basel, Clinical Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology		Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Manuel Battegay, Hans Hirsch, Adrian Egli		Basel
hCoV-19/Germany/NW-RKI-I-013429/2021	2021-01-27	20I/501Y.V1	Germany	North Rhine-Westphalia	North Rhine-Westphalia	EPI_ISL_1143564	Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Switzerland/VD-ETHZ-480109/2021	2021-01-29	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1130706	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/France/ARA-HCL021011506901/2021	2021-01-19	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1191706	MIRIALIS CLUSES SARDAGNE	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Cluses
hCoV-19/France/ARA-HCL021022943001/2021	2021-01-26	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1135018	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/ARA-HCL021022296001/2021	2021-01-27	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1297463	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/ARA-HCL021022318001/2021	2021-01-30	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1313119	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/ARA-HCL021022834901/2021	2021-01-26	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1297466	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/ARA-HCL021022865801/2021	2021-01-26	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1135008	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/France/ARA-HCL021022945801/2021	2021-01-28	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1135019	BIOMNIS LYON	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Regue, Quentin Semanas, Martine Valette, Bruno Lina, Laurence Josset		Lyon
hCoV-19/Germany/TH-RKI-I-012578/2021	2021-01-25	20I/501Y.V1	Germany	Thuringia	Thuringia	EPI_ISL_1142711	amedes MVZ Jena	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Germany/SN-RKI-I-012994/2021	2021-01-26	20I/501Y.V1	Germany	Saxony	Saxony	EPI_ISL_1143128	Bioscientia Labor Wermsdorf	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Switzerland/ZH-ETHZ-471088/2021	2021-01-27	20I/501Y.V1	Switzerland	Zurich	Zurich	EPI_ISL_1130805	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/AG-ETHZ-481555/2021	2021-01-05	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1129419	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Germany/BB-RKI-I-017404/2021	2021-01-21	20I/501Y.V1	Germany	Brandenburg	Brandenburg	EPI_ISL_1147566	LADR MVZ Zweigpraxis Bernau	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute		unknown		
hCoV-19/Switzerland/AG-ETHZ-451220/2021	2021-01-13	20I/501Y.V1	Switzerland	Aargau	Aargau	EPI_ISL_1129371	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/SO-ETHZ-471280/2021	2021-01-23	20I/501Y.V1	Switzerland	Solothurn	Solothurn	EPI_ISL_1130314	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Switzerland/SO-UHB-001-31-469522/2021	2021-01-23	20I/501Y.V1	Switzerland	Solothurn	Solothurn	EPI_ISL_1388368	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology		Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Christiane Beckmann, Manuel Battegay, Hans Hirsch, Adrian Egli		
hCoV-19/Switzerland/SO-ETHZ-471285/2021	2021-01-23	20I/501Y.V1	Switzerland	Solothurn	Solothurn	EPI_ISL_1130317	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich		Chaoran Chen, Sarah Nadeau, Ivan Topolsky, Emmanouil Dermitzakis, Keith Harshman, Ioannis Xenarios, Henri Pegeot, Lorenzo Cerutti, Deborah Penet, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza,  Niko Beerenwinkel, Tanja Stadler		
hCoV-19/Slovakia/CeMM4293/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495206	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4299/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495211	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4306/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495218	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4303/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495215	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4310/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495222	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4296/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495209	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4304/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495216	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4302/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495214	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4292/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495205	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4305/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495217	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4309/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495221	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4297/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495210	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
hCoV-19/Slovakia/CeMM4300/2021	2021-01-07	20I/501Y.V1	Slovakia	Palovce nad Uhom	Palovce nad Uhom	EPI_ISL_1495212	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences		Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler		
